,Infector,Infectee,Timestamp,Date,Hour
156,euc214,asd626,2024-09-18T19:18:40.000,2024-09-18,2024-09-18 19
157,euc214,ahs226,2024-09-18T19:19:11.000,2024-09-18,2024-09-18 19
158,euc214,cno325,2024-09-18T19:19:21.000,2024-09-18,2024-09-18 19
159,euc214,seb225,2024-09-18T19:19:29.000,2024-09-18,2024-09-18 19
160,jil626,map826,2024-09-18T19:19:30.000,2024-09-18,2024-09-18 19
161,jil626,mab526,2024-09-18T19:19:38.000,2024-09-18,2024-09-18 19
162,jil626,chc226,2024-09-18T19:19:45.000,2024-09-18,2024-09-18 19
163,jil626,kah326,2024-09-18T19:20:04.000,2024-09-18,2024-09-18 19
164,jil626,ktl225,2024-09-18T19:22:47.000,2024-09-18,2024-09-18 19
165,emb627,eaf327,2024-09-18T20:00:59.000,2024-09-18,2024-09-18 20
166,kaw225,arh426,2024-09-18T20:59:16.000,2024-09-18,2024-09-18 20
167,kyf224,ajr626,2024-09-18T21:19:42.000,2024-09-18,2024-09-18 21
168,kyf224,sno225,2024-09-18T21:31:53.000,2024-09-18,2024-09-18 21
169,ajr626,cam326,2024-09-18T21:36:10.000,2024-09-18,2024-09-18 21
170,kaw225,tab326,2024-09-18T22:09:39.000,2024-09-18,2024-09-18 22
171,arh426,abm323,2024-09-18T22:31:13.000,2024-09-18,2024-09-18 22
172,mnl226,vap326,2024-09-18T23:08:06.000,2024-09-18,2024-09-18 23
173,mnl226,lar226,2024-09-18T23:08:12.000,2024-09-18,2024-09-18 23
174,cew226,lat226,2024-09-19T00:45:46.000,2024-09-19,2024-09-19 00
175,hme226,jjs226,2024-09-19T00:55:48.000,2024-09-19,2024-09-19 00
176,anb225,mer225,2024-09-19T02:15:28.000,2024-09-19,2024-09-19 02
177,anb225,mbl325,2024-09-19T02:16:17.000,2024-09-19,2024-09-19 02
178,anb225,kab828,2024-09-19T02:16:43.000,2024-09-19,2024-09-19 02
179,ebk224,acb626,2024-09-19T14:00:50.000,2024-09-19,2024-09-19 14
180,lil426,mip426,2024-09-19T17:14:40.000,2024-09-19,2024-09-19 17
181,kaw225,jil825,2024-09-19T17:22:23.000,2024-09-19,2024-09-19 17
182,kaw225,des419,2024-09-19T17:22:36.000,2024-09-19,2024-09-19 17
183,kaw225,klh419,2024-09-19T17:22:44.000,2024-09-19,2024-09-19 17
184,des419,hem324,2024-09-19T17:28:35.000,2024-09-19,2024-09-19 17
185,des419,dkw219,2024-09-19T17:28:51.000,2024-09-19,2024-09-19 17
186,des419,lsj323,2024-09-19T17:41:53.000,2024-09-19,2024-09-19 17
187,jil825,bcg226,2024-09-19T17:53:23.000,2024-09-19,2024-09-19 17
188,jdo325,ery225,2024-09-19T20:11:40.000,2024-09-19,2024-09-19 20
189,klh419,ktn322,2024-09-19T20:19:54.000,2024-09-19,2024-09-19 20
190,mcs424,kpb321,2024-09-19T20:24:35.000,2024-09-19,2024-09-19 20
191,des419,ann225,2024-09-19T20:29:30.000,2024-09-19,2024-09-19 20
